ts_ms,trade_id,side,size,px,lhs_ccy,rhs_ccy
1683057740425.0,2751,B,4000.0,4.214544999999999,BTA,USD
1682908654150.0,208,S,7000.0,4.207605,BTA,USD
1683044223575.0,2521,S,10000.0,4.217045000000001,BTA,USD
1682938807050.0,711,B,4000.0,4.219295,BTA,USD
1683028148525.0,2288,B,1000.0,4.214975,BTA,USD
1682974920575.0,1346,S,3000.0,4.219844999999999,BTA,USD
1682904408550.0,140,S,2000.0,4.20461,BTA,USD
1682904223825.0,134,S,5000.0,4.204999999999999,BTA,USD
1682932004325.0,560,S,5000.0,4.219625,BTA,USD
1683068056550.0,2971,S,7000.0,4.211795,BTA,USD
1683066419125.0,2939,B,3000.0,4.21217,BTA,USD
1682935604350.0,649,S,8000.0,4.220345,BTA,USD
1682964847575.0,1159,B,1000.0,4.218265000000001,BTA,USD
1682961306925.0,1119,B,3000.0,4.217835,BTA,USD
1682958086050.0,1064,S,10000.0,4.2176350000000005,BTA,USD
1683005065325.0,1927,S,8000.0,4.22185,BTA,USD
1683003366350.0,1889,S,4000.0,4.221465,BTA,USD
1682960977675.0,1113,B,4000.0,4.218495,BTA,USD
1683060706975.0,2828,B,7000.0,4.215395,BTA,USD
1682922957025.0,453,B,9000.0,4.21723,BTA,USD
1682993610075.0,1728,S,1000.0,4.22233,BTA,USD
1682975549450.0,1352,B,8000.0,4.22022,BTA,USD
1683026846575.0,2277,S,7000.0,4.214665,BTA,USD
1682972561050.0,1287,B,4000.0,4.21785,BTA,USD
1683067370875.0,2958,B,3000.0,4.211875,BTA,USD
1682981810175.0,1497,S,1000.0,4.220275,BTA,USD
1682947087175.0,849,S,4000.0,4.219465,BTA,USD
1683024315825.0,2247,B,9000.0,4.216755,BTA,USD
1683000858975.0,1864,S,7000.0,4.2205200000000005,BTA,USD
1682962810075.0,1135,S,10000.0,4.21628,BTA,USD
1683066786975.0,2947,B,7000.0,4.21131,BTA,USD
1683015406825.0,2123,B,2000.0,4.221335,BTA,USD
1683040875275.0,2471,S,2000.0,4.217440000000001,BTA,USD
1682963915625.0,1153,S,3000.0,4.218030000000001,BTA,USD
1683010567975.0,2054,S,8000.0,4.22032,BTA,USD
1683016450975.0,2145,S,2000.0,4.2221649999999995,BTA,USD
1682948098525.0,885,B,5000.0,4.2199349999999995,BTA,USD
1683064565250.0,2916,S,8000.0,4.21182,BTA,USD
1683042839050.0,2507,B,4000.0,4.216625,BTA,USD
1682977406625.0,1401,S,8000.0,4.220015,BTA,USD
1682977076950.0,1398,B,10000.0,4.220745,BTA,USD
1682924094025.0,463,B,4000.0,4.218369999999999,BTA,USD
1682918690675.0,388,B,2000.0,4.2121900000000005,BTA,USD
1682920893350.0,426,S,1000.0,4.215145000000001,BTA,USD
1682984966750.0,1564,S,9000.0,4.222805,BTA,USD
1682956424275.0,1018,S,4000.0,4.218205,BTA,USD
1683065920550.0,2931,S,10000.0,4.211775,BTA,USD
1683000541825.0,1858,S,7000.0,4.22051,BTA,USD
1682905605825.0,160,S,3000.0,4.204415,BTA,USD
1682968920725.0,1227,S,4000.0,4.218845,BTA,USD
1682977774750.0,1419,B,1000.0,4.21894,BTA,USD
1683003936575.0,1906,B,2000.0,4.22132,BTA,USD
1682938986125.0,718,S,5000.0,4.218945,BTA,USD
1683049194375.0,2599,S,9000.0,4.217770000000001,BTA,USD
1682935604275.0,648,S,2000.0,4.220325,BTA,USD
1682932205575.0,572,B,6000.0,4.220005,BTA,USD
1683024404450.0,2251,S,1000.0,4.216984999999999,BTA,USD
1683018925775.0,2194,B,9000.0,4.221495,BTA,USD
1683037969050.0,2440,S,10000.0,4.215125,BTA,USD
1682935696850.0,656,S,9000.0,4.220454999999999,BTA,USD
1682968921775.0,1229,S,6000.0,4.218885,BTA,USD
1682931850050.0,555,B,3000.0,4.219345,BTA,USD
1682995464350.0,1763,S,7000.0,4.2207550000000005,BTA,USD
1683034356825.0,2375,S,4000.0,4.212085,BTA,USD
1683056356275.0,2729,B,9000.0,4.21276,BTA,USD
1683052229250.0,2665,S,10000.0,4.2149350000000005,BTA,USD
1682933782925.0,605,B,1000.0,4.2192549999999995,BTA,USD
1682987611550.0,1621,S,1000.0,4.223325,BTA,USD
1682970090650.0,1252,B,3000.0,4.22021,BTA,USD
1682936643425.0,672,B,3000.0,4.2207349999999995,BTA,USD
1682993610625.0,1731,S,1000.0,4.22237,BTA,USD
1682990738950.0,1685,S,8000.0,4.22188,BTA,USD
1682908956150.0,211,S,10000.0,4.208355,BTA,USD
1682956566550.0,1025,S,6000.0,4.218825000000001,BTA,USD
1683012165825.0,2084,B,10000.0,4.2205449999999995,BTA,USD
1683060228675.0,2821,S,5000.0,4.2147749999999995,BTA,USD
1682905139325.0,153,S,5000.0,4.20428,BTA,USD
1682933349050.0,593,B,9000.0,4.219625,BTA,USD
1682982729025.0,1524,S,6000.0,4.221315000000001,BTA,USD
1682901527350.0,82,B,3000.0,4.20454,BTA,USD
1682954556825.0,987,S,9000.0,4.21856,BTA,USD
1682974252825.0,1327,B,10000.0,4.218895,BTA,USD
1682945160450.0,809,S,8000.0,4.218965,BTA,USD
1682900557450.0,55,B,10000.0,4.202694999999999,BTA,USD
1683010616175.0,2057,S,3000.0,4.2203800000000005,BTA,USD
1683004638475.0,1920,S,9000.0,4.22116,BTA,USD
1683006450150.0,1965,S,10000.0,4.221695,BTA,USD
1682965158825.0,1164,S,2000.0,4.218515,BTA,USD
1682951799350.0,950,S,1000.0,4.2185749999999995,BTA,USD
1683011824350.0,2080,S,5000.0,4.221055,BTA,USD
1682914383875.0,311,B,8000.0,4.20915,BTA,USD
1682950210325.0,920,S,2000.0,4.219175,BTA,USD
1682912404750.0,277,B,5000.0,4.207725,BTA,USD
1682974685225.0,1337,S,5000.0,4.219335,BTA,USD
1683036829675.0,2417,B,7000.0,4.213985,BTA,USD
1683058447550.0,2771,S,10000.0,4.2137649999999995,BTA,USD
1682980887875.0,1477,B,8000.0,4.22054,BTA,USD
1683035691750.0,2391,S,3000.0,4.2136949999999995,BTA,USD
1683021670125.0,2217,S,5000.0,4.218534999999999,BTA,USD
1682990738775.0,1684,S,1000.0,4.22187,BTA,USD
1682897647050.0,20,S,4000.0,4.20018,BTA,USD
1683064146150.0,2907,S,8000.0,4.212350000000001,BTA,USD
1682938888075.0,713,S,10000.0,4.219015,BTA,USD
1683016867325.0,2149,B,5000.0,4.2214149999999995,BTA,USD
1683009956250.0,2028,B,6000.0,4.2188,BTA,USD
1682970090325.0,1251,B,4000.0,4.22022,BTA,USD
1683049216675.0,2600,B,10000.0,4.2177999999999995,BTA,USD
1682999732775.0,1838,B,8000.0,4.22012,BTA,USD
1683059058175.0,2785,S,8000.0,4.21458,BTA,USD
1682905180975.0,154,S,10000.0,4.204319999999999,BTA,USD
1682997097650.0,1795,B,1000.0,4.22081,BTA,USD
1682909895550.0,240,S,5000.0,4.20751,BTA,USD
1682910946475.0,252,B,1000.0,4.20744,BTA,USD
1683017462950.0,2163,S,7000.0,4.222035,BTA,USD
1682993610250.0,1729,S,4000.0,4.22234,BTA,USD
1682960855350.0,1112,S,7000.0,4.2178450000000005,BTA,USD
1682987610875.0,1620,S,7000.0,4.223305,BTA,USD
1683058773050.0,2783,B,8000.0,4.214230000000001,BTA,USD
1683028584975.0,2296,B,5000.0,4.215155,BTA,USD
1682996121975.0,1778,S,8000.0,4.220815,BTA,USD
1682960709675.0,1108,S,4000.0,4.2179850000000005,BTA,USD
1682980887925.0,1478,B,5000.0,4.22053,BTA,USD
1682981610725.0,1489,B,10000.0,4.220565,BTA,USD
1682932742950.0,579,S,2000.0,4.220025,BTA,USD
1682968017025.0,1208,B,6000.0,4.218355000000001,BTA,USD
1682899105975.0,27,B,6000.0,4.2024799999999995,BTA,USD
1683047019475.0,2556,B,8000.0,4.218145,BTA,USD
1682909572025.0,228,B,3000.0,4.2078050000000005,BTA,USD
1682999613550.0,1834,B,8000.0,4.220305000000001,BTA,USD
1682986830050.0,1598,S,1000.0,4.223344999999999,BTA,USD
1683007859775.0,1988,S,2000.0,4.222075,BTA,USD
1683066881375.0,2950,B,7000.0,4.21093,BTA,USD
1682936666475.0,674,B,7000.0,4.220635,BTA,USD
1682918626350.0,382,S,2000.0,4.21212,BTA,USD
1683035531350.0,2387,S,3000.0,4.212825,BTA,USD
1682971901850.0,1279,S,4000.0,4.218535,BTA,USD
1682994220975.0,1738,B,1000.0,4.22232,BTA,USD
1683061375750.0,2839,B,3000.0,4.2145,BTA,USD
