ts_ms,trade_id,side,size,px,lhs_ccy,rhs_ccy
1682948109825.0,885,S,5000.0,1.497825,GMMA,USD
1682992725150.0,1685,B,8000.0,1.510575,GMMA,USD
1683023401925.0,2171,B,1000.0,1.478775,GMMA,USD
1683002902150.0,1849,B,9000.0,1.489675,GMMA,USD
1682965686550.0,1195,S,6000.0,1.4980749999999998,GMMA,USD
1683016670025.0,2059,S,4000.0,1.476125,GMMA,USD
1682960546850.0,1075,B,10000.0,1.490075,GMMA,USD
1682945394925.0,837,B,7000.0,1.503525,GMMA,USD
1682929460875.0,594,B,10000.0,1.518875,GMMA,USD
1682931292850.0,649,B,8000.0,1.5187249999999999,GMMA,USD
1683054418175.0,2730,S,9000.0,1.486475,GMMA,USD
1682904650150.0,151,B,6000.0,1.50345,GMMA,USD
1682959738350.0,1058,S,10000.0,1.49825,GMMA,USD
1682990214425.0,1636,B,7000.0,1.496375,GMMA,USD
1683057768725.0,2797,B,5000.0,1.454725,GMMA,USD
1683034056775.0,2340,S,6000.0,1.482025,GMMA,USD
1682999802250.0,1785,B,6000.0,1.5039,GMMA,USD
1682902286325.0,90,S,8000.0,1.5019,GMMA,USD
1682954202350.0,973,S,1000.0,1.4997,GMMA,USD
1682927682475.0,563,B,4000.0,1.506375,GMMA,USD
1682927365850.0,555,B,3000.0,1.5029249999999998,GMMA,USD
1682921205325.0,463,S,4000.0,1.4937749999999999,GMMA,USD
1683035140875.0,2360,S,4000.0,1.4904249999999999,GMMA,USD
1682962044875.0,1113,S,4000.0,1.497375,GMMA,USD
1682909813825.0,233,B,5000.0,1.503125,GMMA,USD
1682977506750.0,1358,B,3000.0,1.512,GMMA,USD
1682980414725.0,1436,S,7000.0,1.5018500000000001,GMMA,USD
1682962913375.0,1135,S,10000.0,1.497,GMMA,USD
1683019162950.0,2091,S,1000.0,1.4763249999999999,GMMA,USD
1682902150150.0,82,S,3000.0,1.5022,GMMA,USD
1682927139950.0,548,B,5000.0,1.5037749999999999,GMMA,USD
1683007737650.0,1932,S,8000.0,1.4818749999999998,GMMA,USD
1682996565050.0,1729,B,4000.0,1.51445,GMMA,USD
1682921318025.0,471,B,4000.0,1.494225,GMMA,USD
1683033969225.0,2334,S,6000.0,1.481725,GMMA,USD
1683001858350.0,1834,S,8000.0,1.5060749999999998,GMMA,USD
1682910122775.0,253,S,7000.0,1.50475,GMMA,USD
1682945831875.0,855,B,10000.0,1.5006249999999999,GMMA,USD
1682903007625.0,111,B,4000.0,1.501075,GMMA,USD
1683063653825.0,2894,B,5000.0,1.453125,GMMA,USD
1682918589050.0,412,S,5000.0,1.51165,GMMA,USD
1682960838350.0,1082,S,9000.0,1.4910249999999998,GMMA,USD
1683008757075.0,1950,S,1000.0,1.47445,GMMA,USD
1683049691675.0,2650,S,7000.0,1.49095,GMMA,USD
1682930906375.0,633,S,7000.0,1.522575,GMMA,USD
1683035573875.0,2373,B,10000.0,1.4888249999999998,GMMA,USD
1682896085850.0,3,S,8000.0,1.5033750000000001,GMMA,USD
1682904890525.0,153,B,5000.0,1.50265,GMMA,USD
1683017904525.0,2078,S,10000.0,1.478675,GMMA,USD
1682967774075.0,1218,S,1000.0,1.49485,GMMA,USD
1682949602050.0,910,B,9000.0,1.500075,GMMA,USD
1682960589450.0,1080,S,8000.0,1.493375,GMMA,USD
1683028418250.0,2262,S,9000.0,1.493425,GMMA,USD
1682992127450.0,1680,B,4000.0,1.510125,GMMA,USD
1682909899550.0,243,B,4000.0,1.50165,GMMA,USD
1682958095725.0,1043,S,9000.0,1.4945249999999999,GMMA,USD
1683027835475.0,2255,S,2000.0,1.488225,GMMA,USD
1682958095025.0,1040,S,1000.0,1.494275,GMMA,USD
1683064952550.0,2907,B,8000.0,1.4517,GMMA,USD
1682980946350.0,1460,S,9000.0,1.509625,GMMA,USD
1683027423050.0,2244,B,3000.0,1.4876749999999999,GMMA,USD
1682925042650.0,521,B,9000.0,1.5048499999999998,GMMA,USD
1683045289875.0,2577,S,1000.0,1.49995,GMMA,USD
1682945959175.0,858,S,2000.0,1.500375,GMMA,USD
1683053638025.0,2719,S,9000.0,1.4884,GMMA,USD
1682975889450.0,1341,S,9000.0,1.52095,GMMA,USD
1682897705575.0,27,B,6000.0,1.49945,GMMA,USD
1682897149250.0,20,B,4000.0,1.5052999999999999,GMMA,USD
