ts_ms,trade_id,side,size,px,lhs_ccy,rhs_ccy
1683061966950.0,2860,S,4000.0,2.93425,ZTA,USD
1682941953150.0,782,S,2000.0,2.875475,ZTA,USD
1682925312625.0,493,B,6000.0,2.9135250000000004,ZTA,USD
1682912382975.0,252,B,1000.0,2.897875,ZTA,USD
1683024316575.0,2188,B,5000.0,2.921025,ZTA,USD
1682973000825.0,1257,S,4000.0,2.95345,ZTA,USD
1683042039125.0,2469,S,9000.0,2.914175,ZTA,USD
1683041584050.0,2457,S,2000.0,2.91525,ZTA,USD
1682957007175.0,1018,B,4000.0,2.903125,ZTA,USD
1682943283850.0,809,S,8000.0,2.871075,ZTA,USD
1683004119950.0,1855,B,8000.0,2.94635,ZTA,USD
1682921872850.0,426,B,1000.0,2.914875,ZTA,USD
1682976533075.0,1306,B,6000.0,2.946575,ZTA,USD
1683038324425.0,2378,S,8000.0,2.914275,ZTA,USD
1682972207975.0,1236,S,6000.0,2.9564250000000003,ZTA,USD
1683026300450.0,2209,B,7000.0,2.9282250000000003,ZTA,USD
1682961966050.0,1075,S,10000.0,2.930275,ZTA,USD
1682935941050.0,678,S,7000.0,2.907275,ZTA,USD
1682910333150.0,208,B,7000.0,2.90545,ZTA,USD
1682962787050.0,1084,B,8000.0,2.9312,ZTA,USD
1682998303925.0,1764,S,9000.0,2.9379250000000003,ZTA,USD
1682914174875.0,278,B,5000.0,2.89555,ZTA,USD
1683059024025.0,2812,B,7000.0,2.92425,ZTA,USD
1682945663275.0,844,B,7000.0,2.874425,ZTA,USD
1682923277525.0,460,B,3000.0,2.9224,ZTA,USD
1682899871750.0,55,B,10000.0,2.89495,ZTA,USD
1683055989350.0,2749,S,4000.0,2.9139999999999997,ZTA,USD
1683029104350.0,2257,B,7000.0,2.912475,ZTA,USD
1682976707575.0,1311,B,9000.0,2.943525,ZTA,USD
1682978442475.0,1338,S,9000.0,2.9545,ZTA,USD
1682930807350.0,579,B,2000.0,2.909975,ZTA,USD
1683006715275.0,1884,S,8000.0,2.929275,ZTA,USD
1683029103775.0,2256,B,3000.0,2.9124250000000003,ZTA,USD
1683062135275.0,2870,S,8000.0,2.93505,ZTA,USD
1682926196325.0,506,B,5000.0,2.9143250000000003,ZTA,USD
1682986714325.0,1524,S,6000.0,2.939525,ZTA,USD
1682984826425.0,1491,B,9000.0,2.946275,ZTA,USD
1683065922750.0,2931,B,10000.0,2.944725,ZTA,USD
1682994518950.0,1700,S,8000.0,2.93565,ZTA,USD
1682999084725.0,1776,S,8000.0,2.939125,ZTA,USD
1682905874850.0,140,B,2000.0,2.906175,ZTA,USD
1682917238750.0,337,S,8000.0,2.9023000000000003,ZTA,USD
1682934382175.0,648,S,2000.0,2.904575,ZTA,USD
1682971580625.0,1227,S,4000.0,2.951325,ZTA,USD
1683066895875.0,2947,B,7000.0,2.9479,ZTA,USD
1682971542325.0,1225,S,7000.0,2.953675,ZTA,USD
